BINTYPE,CUBEID,CAPMETHOD,STORAGE,TEMP,RECV,PICK,STAGE,SHIP,VALUEADD,PRINTER,DOOR,TRAILER,EXTERNALDEVICE,DISPLAY,FLOOR,ALLOWPUT,ALLOWPICK,MAXWEIGHT,MAXTYPEIN,MINTYPEIN,MAXTYPEOUT,MINTYPEOUT,CREATEDATETIME,CHANGEDATETIME,CHANGEUSER,TIMESTAMP,ALLOWMIXEDCUSTOWNER,ALLOWMIXEDSKU,ALLOWBULKMOVEFROM,ALLOWBULKMOVETO,ALLOWBULKMOVETONONEMPTY,CONSOLIDATECONTAINER,ALLOWHOLD,ALLOWDAMAGED,DAMAGECATEGORY,CUSTOWNER,MISC1,MISC2,MISC3,MISC4,HVR_IS_DELETED,HVR_CHANGE_TIME
BINBOX1,BINBOX1,INFINITE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,9999999,,,,,2013-09-23 00:00:00.000,2013-09-23 00:00:00.000,system,0000000015482704,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,ALL,,,,,0,2022-08-06 18:43:12.575 +0000
BINBOX1-EGLE,BINBOX1,INFINITE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,9999999,,,,,2021-12-15 00:00:00.000,2021-12-15 00:00:00.000,ip,0000000019250C80,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,AMERICANEAGLE,,,,,0,2022-08-06 18:43:12.575 +0000
BINBOX1-EQUI,BINBOX1,INFINITE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,9999999,,,,,2022-02-18 00:00:00.000,2022-02-18 00:00:00.000,ip,000000001BAC3992,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,EQUILIBRIA,,,,,0,2022-08-06 18:43:12.575 +0000
BINBOX1-MOAN-NOMIX,BINBOX1,INFINITE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,9999999,,,,,2020-03-30 00:00:00.000,2020-03-30 00:00:00.000,ip,0000000015482705,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,MONICAANDANDY,,,,,0,2022-08-06 18:43:12.575 +0000
BINBOX1-NOMIX,BINBOX1,INFINITE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,9999999,,,,,2018-05-03 00:00:00.000,2018-05-03 00:00:00.000,ip,0000000015482706,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,ALL,,,,,0,2022-08-06 18:43:12.575 +0000
BINBOX1-NOMIX-EGLE,BINBOX1,INFINITE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,9999999,,,,,2020-07-23 00:00:00.000,2020-07-23 00:00:00.000,ip,0000000015482707,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,AMERICANEAGLE,,,,,0,2022-08-06 18:43:12.575 +0000
BINBOX1-NOMIX-EQUI,BINBOX1,INFINITE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,9999999,,,,,2020-10-17 00:00:00.000,2020-10-17 00:00:00.000,ip,0000000015482708,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,EQUILIBRIA,,,,,0,2022-08-06 18:43:12.575 +0000
BINBOX1-NOMIX-HOOD,BINBOX1,INFINITE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,9999999,,,,,2020-08-04 00:00:00.000,2020-08-04 00:00:00.000,ip,0000000015482709,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,HOODIE,,,,,0,2022-08-06 18:43:12.575 +0000
BINBOX1-QUIET,BINBOX1,INFINITE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,9999999,,,,,2021-08-11 00:00:00.000,2021-08-11 00:00:00.000,ip,000000001548270A,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,QUIET,,,,,0,2022-08-06 18:43:12.575 +0000
BINBOX1NOPUT,BINBOX1,INFINITE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,9999999,,,,,2013-09-23 00:00:00.000,2013-09-23 00:00:00.000,system,000000001548270B,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,ALL,,,,,0,2022-08-06 18:43:12.575 +0000
BINBOX2,BINBOX1,INFINITE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,9999999,,,,,2013-09-23 00:00:00.000,2013-09-23 00:00:00.000,system,000000001548270C,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,ALL,,,,,0,2022-08-06 18:43:12.575 +0000
CASE1-EGLE,CASE1,INFINITE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,9999999,,,,,2020-10-29 00:00:00.000,2020-10-29 00:00:00.000,ip,000000001548270D,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,AMERICANEAGLE,,2,,,0,2022-08-06 18:43:12.575 +0000
CASE1-NOMIX-EGLE,CASE1,INFINITE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,9999999,,,,,2020-09-18 00:00:00.000,2020-09-18 00:00:00.000,ip,000000001548270E,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,AMERICANEAGLE,,,,,0,2022-08-06 18:43:12.575 +0000
CASE1-NOMIX-JVN,CASE1,INFINITE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,9999999,,,,,2021-10-05 00:00:00.000,2021-10-05 00:00:00.000,ip,0000000015A77316,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,JVN,,,,,0,2022-08-06 18:43:12.575 +0000
