BINTYPE,CUBEID,CAPMETHOD,STORAGE,TEMP,RECV,PICK,STAGE,SHIP,VALUEADD,PRINTER,DOOR,TRAILER,EXTERNALDEVICE,DISPLAY,FLOOR,ALLOWPUT,ALLOWPICK,MAXWEIGHT,MAXTYPEIN,MINTYPEIN,MAXTYPEOUT,MINTYPEOUT,CREATEDATETIME,CHANGEDATETIME,CHANGEUSER,TIMESTAMP,ALLOWMIXEDCUSTOWNER,ALLOWMIXEDSKU,ALLOWBULKMOVEFROM,ALLOWBULKMOVETO,ALLOWBULKMOVETONONEMPTY,CONSOLIDATECONTAINER,ALLOWHOLD,ALLOWDAMAGED,DAMAGECATEGORY,CUSTOWNER,MISC1,MISC2,MISC3,MISC4,HVR_IS_DELETED,HVR_CHANGE_TIME
BINBOX1,BINBOX1,INFINITE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,9999999,,,,,2013-09-23 00:00:00.000,2013-09-23 00:00:00.000,system,000000009496F716,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,ALL,,,,,0,2022-08-06 20:49:58.953 +0000
BINBOX1-AWAY,BINBOX1,INFINITE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,9999999,,,,,2018-02-21 00:00:00.000,2018-02-21 00:00:00.000,ip,000000009496F717,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,AWAY,,,,,0,2022-08-06 20:49:58.953 +0000
BINBOX1-AWAYNOMIX,BINBOX1,INFINITE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,9999999,,,,,2017-07-18 00:00:00.000,2017-07-18 00:00:00.000,ip,000000009496F718,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,AWAY,,,,,0,2022-08-06 20:49:58.953 +0000
BINBOX1-BRAS,BINBOX1,INFINITE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,9999999,,,,,2013-09-23 00:00:00.000,2013-09-23 00:00:00.000,system,000000009496F719,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,BRASS,,,,,0,2022-08-06 20:49:58.953 +0000
BINBOX1-BRASNOMIX,BINBOX1,INFINITE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,9999999,,,,,2018-02-23 12:00:00.000,2018-02-23 12:00:00.000,jbartlett,000000009496F71A,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,BRASS,,,,,0,2022-08-06 20:49:58.953 +0000
BINBOX1-EGLE,BINBOX1,INFINITE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,9999999,,,,,2020-11-12 00:00:00.000,2022-08-17 00:00:00.000,ip,00000000AA0F4876,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,AMERICANEAGLE,,2,,,0,2022-08-17 21:40:38.943 +0000
BINBOX1-FOLL,BINBOX1,INFINITE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,9999999,,,,,2013-09-23 00:00:00.000,2013-09-23 00:00:00.000,system,000000009496F71C,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,FOLLAIN,,,,,0,2022-08-06 20:49:58.953 +0000
BINBOX1-GLOSNOMIX,BINBOX1,INFINITE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,9999999,,,,,2017-04-27 00:00:00.000,2017-04-27 00:00:00.000,ip,000000009496F71D,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,GLOSSIER,,,,,0,2022-08-06 20:49:58.953 +0000
BINBOX1-LOVE,BINBOX1,INFINITE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,9999999,,,,,2013-09-23 00:00:00.000,2013-09-23 00:00:00.000,system,000000009496F71E,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,LOVEYOURMELON,,,,,0,2022-08-06 20:49:58.953 +0000
BINBOX1-MACK,BINBOX1,INFINITE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,9999999,,,,,2017-03-28 00:00:00.000,5055-05-05 00:00:00.000,mdion,00000000A3C336EC,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,MACKWELDON,,6,,,0,2022-08-06 20:49:58.953 +0000
