BINTYPE,CUBEID,CAPMETHOD,STORAGE,TEMP,RECV,PICK,STAGE,SHIP,VALUEADD,PRINTER,DOOR,TRAILER,EXTERNALDEVICE,DISPLAY,FLOOR,ALLOWPUT,ALLOWPICK,MAXWEIGHT,MAXTYPEIN,MINTYPEIN,MAXTYPEOUT,MINTYPEOUT,CREATEDATETIME,CHANGEDATETIME,CHANGEUSER,TIMESTAMP,ALLOWMIXEDCUSTOWNER,ALLOWMIXEDSKU,ALLOWBULKMOVEFROM,ALLOWBULKMOVETO,ALLOWBULKMOVETONONEMPTY,CONSOLIDATECONTAINER,ALLOWHOLD,ALLOWDAMAGED,DAMAGECATEGORY,CUSTOWNER,MISC1,MISC2,MISC3,MISC4,HVR_IS_DELETED,HVR_CHANGE_TIME
BINBOX1,BINBOX1,INFINITE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,9999999,,,,,2011-07-01 00:00:00.000,2019-05-30 00:00:00.000,ip,000000017B4C5F7F,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,ALL,1,2,,,0,2022-08-06 16:53:27.009 +0000
BINBOX1-12-BONO,BINBOX1,INFINITE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,9999999,,,,,2018-11-05 00:00:00.000,2018-11-05 00:00:00.000,ip,000000017B4C5F80,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,BONOBOS,1,12,,,0,2022-08-06 16:53:27.009 +0000
BINBOX1-12-BSMP,BINBOX1,INFINITE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,9999999,,,,,2018-11-09 00:00:00.000,2018-11-09 00:00:00.000,ip,000000017B4C5F81,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,BONOBOSSAMPLE,1,12,,,0,2022-08-06 16:53:27.009 +0000
BINBOX1-AMCT,BINBOX1,INFINITE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,9999999,,,,,2018-02-21 00:00:00.000,2018-02-21 00:00:00.000,ip,000000017B4C5F82,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,AMERICANCOTTON,1,2,,,0,2022-08-06 16:53:27.009 +0000
BINBOX1-AYR,BINBOX1,INFINITE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,9999999,,,,,2018-02-12 00:00:00.000,2019-04-01 00:00:00.000,ip,000000017B4C5F83,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,AYR,1,2,,,0,2022-08-06 16:53:27.009 +0000
BINBOX1-AYRWH,BINBOX1,INFINITE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,9999999,,,,,2018-03-30 00:00:00.000,2018-03-30 00:00:00.000,ip,000000017B4C5F84,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,AYRWHOLESALE,1,2,,,0,2022-08-06 16:53:27.009 +0000
BINBOX1-BABW,BINBOX1,INFINITE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,9999999,,,,,2017-10-11 00:00:00.000,2017-10-11 00:00:00.000,ip,000000017B4C5F85,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,BOLLANDBRANCHWHOLESALE,1,2,,,0,2022-08-06 16:53:27.009 +0000
BINBOX1-BANDB,BINBOX1,INFINITE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,9999999,,,,,2017-10-11 00:00:00.000,2017-10-11 00:00:00.000,ip,000000017B4C5F86,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,BOLLANDBRANCH,1,2,,,0,2022-08-06 16:53:27.009 +0000
BINBOX1-BOGS,BINBOX1,INFINITE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,9999999,,,,,2017-01-28 00:00:00.000,2020-04-08 16:24:58.207,ip,000000017B4C5F87,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,BONOBOSGUIDESHOP,1,,,,0,2022-08-06 16:53:27.009 +0000
BINBOX1-BONO,BINBOX1,INFINITE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,9999999,,,,,2017-01-28 00:00:00.000,2017-01-28 00:00:00.000,mdion,000000017B4C5F88,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,BONOBOS,1,2,,,0,2022-08-06 16:53:27.009 +0000
BINBOX1-BONOSAMP,BINBOX1,INFINITE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,9999999,,,,,2017-07-25 00:00:00.000,2019-10-11 00:00:00.000,ip,000000017B4C5F89,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,BONOBOSSAMPLE,1,,,,0,2022-08-06 16:53:27.009 +0000
BINBOX1-BOWS,BINBOX1,INFINITE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,9999999,,,,,2017-01-28 00:00:00.000,2018-11-23 00:00:00.000,ip,000000017B4C5F8A,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,BONOBOSWHOLESALE,1,2,,,0,2022-08-06 16:53:27.009 +0000
BINBOX1-CHNGE,BINBOX1,INFINITE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,9999999,,,,,2018-04-19 00:00:00.000,2020-07-29 08:12:30.777,ip,000000017B4C5F8B,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,CHNGE,1,3,,,0,2022-08-06 16:53:27.009 +0000
BINBOX1-ESCADA,BINBOX1,INFINITE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,9999999,,,,,2017-08-15 00:00:00.000,2019-04-01 00:00:00.000,ip,000000017B4C5F8C,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,ESCADA,1,2,,,0,2022-08-06 16:53:27.009 +0000
BINBOX1-HERSCHEL,BINBOX1,INFINITE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,9999999,,,,,2017-10-05 00:00:00.000,2019-04-01 00:00:00.000,ip,000000017B4C5F8D,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,HERSCHEL,1,2,,,0,2022-08-06 16:53:27.009 +0000
BINBOX1-LOVE,BINBOX1,INFINITE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,9999999,,,,,2013-09-23 00:00:00.000,2019-02-25 00:00:00.000,ip,000000017B4C5F8E,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,LOVEYOURMELON,,2,,,0,2022-08-06 16:53:27.009 +0000
BINBOX1-LYM-NOMIX,BINBOX1,INFINITE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,9999999,,,,,2018-12-24 00:00:00.000,2018-12-24 00:00:00.000,ip,000000017B4C5F8F,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,LOVEYOURMELON,1,,,,0,2022-08-06 16:53:27.009 +0000
BINBOX1-NOMIX,BINBOX1,INFINITE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,9999999,,,,,2018-09-24 00:00:00.000,2018-09-24 00:00:00.000,ip,000000017B4C5F90,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,ALL,1,,,,0,2022-08-06 16:53:27.009 +0000
BINBOX1-NOMIX-AYR,BINBOX1,INFINITE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,9999999,,,,,2019-07-19 00:00:00.000,2019-07-19 00:00:00.000,ip,000000017B4C5F91,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,AYR,1,,,,0,2022-08-06 16:53:27.009 +0000
BINBOX1-NOMIX-BABW,BINBOX1,INFINITE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,9999999,,,,,2019-05-09 00:00:00.000,2019-05-09 00:00:00.000,ip,000000017B4C5F92,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,BOLLANDBRANCHWHOLESALE,1,,,,0,2022-08-06 16:53:27.009 +0000
BINBOX1-NOMIX-BANDB,BINBOX1,INFINITE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,9999999,,,,,2019-05-09 00:00:00.000,2019-05-09 00:00:00.000,ip,000000017B4C5F93,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,BOLLANDBRANCH,1,,,,0,2022-08-06 16:53:27.009 +0000
BINBOX1-NOMIX-BOGS,BINBOX1,INFINITE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,9999999,,,,,2019-04-19 00:00:00.000,2019-04-19 00:00:00.000,ip,000000017B4C5F94,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,BONOBOSGUIDESHOP,1,,,,0,2022-08-06 16:53:27.009 +0000
