BINTYPE,CUBEID,CAPMETHOD,STORAGE,TEMP,RECV,PICK,STAGE,SHIP,VALUEADD,PRINTER,DOOR,TRAILER,EXTERNALDEVICE,DISPLAY,FLOOR,ALLOWPUT,ALLOWPICK,MAXWEIGHT,MAXTYPEIN,MINTYPEIN,MAXTYPEOUT,MINTYPEOUT,CREATEDATETIME,CHANGEDATETIME,CHANGEUSER,TIMESTAMP,ALLOWMIXEDCUSTOWNER,ALLOWMIXEDSKU,ALLOWBULKMOVEFROM,ALLOWBULKMOVETO,ALLOWBULKMOVETONONEMPTY,CONSOLIDATECONTAINER,ALLOWHOLD,ALLOWDAMAGED,DAMAGECATEGORY,CUSTOWNER,MISC1,MISC2,MISC3,MISC4,HVR_IS_DELETED,HVR_CHANGE_TIME
BINBOX1,BINBOX1,INFINITE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,9999999,,,,,2013-09-23 00:00:00.000,2013-09-23 00:00:00.000,system,0000000023095A74,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,ALL,,,,,0,2022-08-06 23:56:22.818 +0000
BINBOX1-AWAY,BINBOX1,INFINITE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,9999999,,,,,2018-01-18 00:00:00.000,2018-01-18 00:00:00.000,ip,0000000023095A75,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,AWAY,,,,,0,2022-08-06 23:56:22.818 +0000
BINBOX1-AWAYNOMIX,BINBOX1,INFINITE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,9999999,,,,,2018-03-28 00:00:00.000,2018-03-28 00:00:00.000,ip,0000000023095A76,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,AWAY,,,,,0,2022-08-06 23:56:22.818 +0000
BINBOX1-EANDE,BINBOX1,INFINITE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,9999999,,,,,2020-04-07 00:00:00.000,2020-04-07 00:00:00.000,ip,0000000023095A77,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,EANDE,,,,,0,2022-08-06 23:56:22.818 +0000
BINBOX1-ENTIREWORLD,BINBOX1,INFINITE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,9999999,,,,,2018-02-14 00:00:00.000,2018-02-14 00:00:00.000,ip,0000000023095A78,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,ENTIREWORLD,,,,,0,2022-08-06 23:56:22.818 +0000
BINBOX1-EWNOMIX,BINBOX1,INFINITE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,9999999,,,,,2018-04-17 00:00:00.000,2018-04-17 00:00:00.000,ip,0000000023095A79,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,ENTIREWORLD,,,,,0,2022-08-06 23:56:22.818 +0000
BINBOX1-HUMAN,BINBOX1,INFINITE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,9999999,,,,,2017-12-17 00:00:00.000,2017-12-17 00:00:00.000,ip,0000000023095A7A,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,HUMANCENTRIC,,,,,0,2022-08-06 23:56:22.818 +0000
BINBOX1-MNML,BINBOX1,INFINITE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,9999999,,,,,2019-05-22 00:00:00.000,2020-10-19 00:00:00.000,ip,0000000023095A7B,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,MNML,,,,,0,2022-08-06 23:56:22.818 +0000
BINBOX1-NIKE,BINBOX1,INFINITE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,9999999,,,,,2020-12-01 00:00:00.000,2020-12-01 00:00:00.000,ip,0000000023095A7C,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,NIKEEASYKICKS,,2,,,0,2022-08-06 23:56:22.818 +0000
BINBOX1-NIKENOMIX,BINBOX1,INFINITE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,9999999,,,,,2018-05-08 00:00:00.000,2018-05-08 00:00:00.000,ip,0000000023095A7D,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,NIKEEASYKICKS,,,,,0,2022-08-06 23:56:22.818 +0000
BINBOX1-NOMIX,BINBOX1,INFINITE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,9999999,,,,,2018-05-03 00:00:00.000,2018-05-03 00:00:00.000,ip,0000000023095A7E,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,ALL,,,,,0,2022-08-06 23:56:22.818 +0000
BINBOX1-NOMIX-ALYNN,BINBOX1,INFINITE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,9999999,,,,,2018-06-04 00:00:00.000,2018-06-04 00:00:00.000,ip,0000000023095A7F,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,ALYNN,,,,,0,2022-08-06 23:56:22.818 +0000
BINBOX1-NOMIX-CUUP,BINBOX1,INFINITE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,9999999,,,,,2020-07-27 00:00:00.000,2020-07-27 00:00:00.000,ip,0000000023095A80,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,CUUP,,,,,0,2022-08-06 23:56:22.818 +0000
BINBOX1-NOMIX-EANDE,BINBOX1,INFINITE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,9999999,,,,,2019-09-16 00:00:00.000,2019-09-16 00:00:00.000,ip,0000000023095A81,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,EANDE,,,,,0,2022-08-06 23:56:22.818 +0000
BINBOX1-NOMIX-FANA,BINBOX1,INFINITE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,9999999,,,,,2022-05-09 00:00:00.000,2022-05-09 00:00:00.000,ip,000000002C7AEF2B,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,FANATICS,,,,,0,2022-08-06 23:56:22.818 +0000
BINBOX1-NOMIX-GTCH,BINBOX1,INFINITE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,9999999,,,,,2018-07-09 00:00:00.000,2018-07-09 00:00:00.000,ip,0000000023095A82,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,GETCHOOSY,,,,,0,2022-08-06 23:56:22.818 +0000
