BINTYPE,CUBEID,CAPMETHOD,STORAGE,TEMP,RECV,PICK,STAGE,SHIP,VALUEADD,PRINTER,DOOR,TRAILER,EXTERNALDEVICE,DISPLAY,FLOOR,ALLOWPUT,ALLOWPICK,MAXWEIGHT,MAXTYPEIN,MINTYPEIN,MAXTYPEOUT,MINTYPEOUT,CREATEDATETIME,CHANGEDATETIME,CHANGEUSER,TIMESTAMP,ALLOWMIXEDCUSTOWNER,ALLOWMIXEDSKU,ALLOWBULKMOVEFROM,ALLOWBULKMOVETO,ALLOWBULKMOVETONONEMPTY,CONSOLIDATECONTAINER,ALLOWHOLD,ALLOWDAMAGED,DAMAGECATEGORY,CUSTOWNER,MISC1,MISC2,MISC3,MISC4,HVR_IS_DELETED,HVR_CHANGE_TIME
BINBOX1,BINBOX1,INFINITE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,9999999,,,,,2013-09-23 00:00:00.000,2013-09-23 00:00:00.000,system,0000000022646AAF,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,ALL,,,,,0,2022-08-06 20:38:08.952 +0000
BINBOX1-EGLE,BINBOX1,INFINITE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,9999999,,,,,2020-10-28 00:00:00.000,2020-10-28 00:00:00.000,ip,0000000022646AB0,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,AMERICANEAGLE,,2,,,0,2022-08-06 20:38:08.952 +0000
BINBOX1-GOLI,BINBOX1,INFINITE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,9999999,,,,,2020-06-03 00:00:00.000,2020-06-03 00:00:00.000,ip,0000000022646AB1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,GOLI,,,,,0,2022-08-06 20:38:08.952 +0000
BINBOX1-MACK,BINBOX1,INFINITE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,9999999,,,,,2022-05-25 00:00:00.000,2022-09-01 20:56:16.777,ip,000000003DA1391C,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,MACKWELDON,,2,,,0,2022-09-02 04:00:37.622 +0000
BINBOX1-NEST,BINBOX1,INFINITE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,9999999,,,,,2022-03-08 00:00:00.000,2022-03-08 00:00:00.000,ip,000000002D8C4669,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,NESTEDBEAN,,5,,,0,2022-08-06 20:38:08.952 +0000
BINBOX1-NOMIX,BINBOX1,INFINITE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,9999999,,,,,2018-05-03 00:00:00.000,2018-05-03 00:00:00.000,ip,0000000022646AB2,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,ALL,,,,,0,2022-08-06 20:38:08.952 +0000
BINBOX1-NOMIX-345AM,BINBOX1,INFINITE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,9999999,,,,,2019-09-30 00:00:00.000,2019-09-30 00:00:00.000,ip,0000000022646AB3,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,345AM,,,,,0,2022-08-06 20:38:08.952 +0000
BINBOX1-NOMIX-AMMA,BINBOX1,INFINITE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,9999999,,,,,2019-11-15 00:00:00.000,2019-11-15 00:00:00.000,ip,0000000022646AB4,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,AMMAHEALING,,,,,0,2022-08-06 20:38:08.952 +0000
BINBOX1-NOMIX-BAGGU,BINBOX1,INFINITE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,9999999,,,,,2020-10-01 00:00:00.000,2020-10-01 00:00:00.000,ip,0000000022646AB5,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,BAGGU,,,,,0,2022-08-06 20:38:08.952 +0000
BINBOX1-NOMIX-BIRD,BINBOX1,INFINITE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,9999999,,,,,2021-11-15 00:00:00.000,2021-11-15 00:00:00.000,ip,000000002565BC0C,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,BIRDIES,,,,,0,2022-08-06 20:38:08.952 +0000
